Entry, Tail, Size, Date,Resolution,Height,Width,Depth
EMD-4516,emd_4516_half_map_2.map.gz,4162212,2019-04-16,5.4,104.0,104.0,104.0
EMD-4517,emd_4517_half_map_1.map.gz,4163215,2019-04-16,4.8,104.0,104.0,104.0
EMD-4517,emd_4517_half_map_2.map.gz,4160685,2019-04-16,4.8,104.0,104.0,104.0
EMD-4518,emd_4518_half_map_1.map.gz,4157811,2019-04-16,5.0,104.0,104.0,104.0
EMD-4518,emd_4518_half_map_2.map.gz,4158337,2019-04-16,5.0,104.0,104.0,104.0
EMD-4519,emd_4519_half_map_1.map.gz,4163666,2019-04-15,5.6,104.0,104.0,104.0
EMD-4519,emd_4519_half_map_2.map.gz,4161498,2019-04-15,5.6,104.0,104.0,104.0
EMD-4520,emd_4520_half_map_1.map.gz,173413260,2019-09-21,3.1,360.0,360.0,360.0
EMD-4520,emd_4520_half_map_2.map.gz,173413883,2019-09-21,3.1,360.0,360.0,360.0
EMD-4521,emd_4521_half_map_1.map.gz,146086932,2019-09-22,3.3,340.0,340.0,340.0
EMD-4521,emd_4521_half_map_2.map.gz,146090385,2019-09-22,3.3,340.0,340.0,340.0
EMD-4531,emd_4531_half_map_1.map.gz,354675869,2020-01-07,2.83,480.0,480.0,480.0
EMD-4531,emd_4531_half_map_2.map.gz,354723812,2020-01-07,2.83,480.0,480.0,480.0
EMD-4543,emd_4543_half_map_1.map.gz,67156818,2019-06-17,4.15,280.0,280.0,280.0
EMD-4543,emd_4543_half_map_2.map.gz,67156562,2019-06-17,4.15,280.0,280.0,280.0
EMD-4544,emd_4544_half_map_1.map.gz,76571105,2019-06-18,4.25,280.0,280.0,280.0
EMD-4544,emd_4544_half_map_2.map.gz,76551166,2019-06-18,4.25,280.0,280.0,280.0
EMD-4545,emd_4545_half_map_1.map.gz,75691247,2019-06-18,4.55,280.0,280.0,280.0
EMD-4545,emd_4545_half_map_2.map.gz,75665316,2019-06-18,4.55,280.0,280.0,280.0
EMD-4546,emd_4546_half_map_1.map.gz,76727531,2019-06-18,9.4,280.0,280.0,280.0
EMD-4546,emd_4546_half_map_2.map.gz,76676557,2019-06-18,9.4,280.0,280.0,280.0
EMD-4547,emd_4547_half_map_1.map.gz,76331226,2019-06-17,10.1,280.0,280.0,280.0
EMD-4547,emd_4547_half_map_2.map.gz,76452676,2019-06-17,10.1,280.0,280.0,280.0
EMD-4563,emd_4563_half_map_1.map.gz,51584043,2019-03-21,3.3,256.0,256.0,256.0
EMD-4563,emd_4563_half_map_2.map.gz,51586408,2019-03-21,3.3,256.0,256.0,256.0
EMD-4564,emd_4564_half_map_1.map.gz,51023231,2019-03-21,3.3,256.0,256.0,256.0
EMD-4564,emd_4564_half_map_2.map.gz,51019686,2019-03-21,3.3,256.0,256.0,256.0
EMD-4565,emd_4565_half_map_1.map.gz,51643653,2019-03-21,3.5,256.0,256.0,256.0
EMD-4565,emd_4565_half_map_2.map.gz,51884195,2019-03-21,3.5,256.0,256.0,256.0
EMD-4566,emd_4566_half_map_1.map.gz,50748361,2020-11-18,3.7,256.0,256.0,256.0
EMD-4566,emd_4566_half_map_2.map.gz,51248951,2020-11-18,3.7,256.0,256.0,256.0
EMD-4567,emd_4567_half_map_1.map.gz,6073366,2020-03-19,3.74,138.0,138.0,138.0
EMD-4567,emd_4567_half_map_2.map.gz,6075808,2020-03-19,3.74,138.0,138.0,138.0
EMD-4571,emd_4571_half_map_1.map.gz,89873489,2019-07-11,3.3,290.0,290.0,290.0
EMD-4571,emd_4571_half_map_2.map.gz,89883362,2019-07-11,3.3,290.0,290.0,290.0
EMD-4573,emd_4573_half_map_1.map.gz,156058925,2020-11-18,4.5,368.0,368.0,368.0
EMD-4573,emd_4573_half_map_2.map.gz,155763269,2020-11-18,4.5,368.0,368.0,368.0
EMD-4574,emd_4574_half_map_1.map.gz,157779419,2019-07-20,4.4,368.0,368.0,368.0
EMD-4574,emd_4574_half_map_2.map.gz,157962401,2019-07-20,4.4,368.0,368.0,368.0
EMD-4576,emd_4576_half_map_1.map.gz,155950000,2020-11-18,6.7,368.0,368.0,368.0
EMD-4576,emd_4576_half_map_2.map.gz,155918830,2020-11-18,6.7,368.0,368.0,368.0
EMD-4577,emd_4577_half_map_1.map.gz,102297858,2020-03-12,2.8,320.0,320.0,320.0
EMD-4577,emd_4577_half_map_2.map.gz,102298897,2020-03-12,2.8,320.0,320.0,320.0
EMD-4578,emd_4578_half_map_1.map.gz,102423912,2020-03-12,2.9,320.0,320.0,320.0
